Domizil;Beobachtungseinheit;Art;Geschlecht;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Ausland;Anzahl Renten;Zusatzrente für Kinder (doppelt);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;69;102;130;151;160;188;…;…;…;…;…;10;7;9;5;17;21;27;23;25;22;22;35;34;29;26;27;29;39;43;39;59;67;95;58;37;32;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Ausland;Anzahl Renten;Witwer/Witwe;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;15;101;168;290;296;320;339;363;400;406;410;401;388;391;378;388;392;375;355;351;351;355;357;365;363;380;1'301
Ausland;Anzahl Renten;Witwer/Witwe;Frauen;–;73;215;354;579;759;921;1'083;1'227;1'845;2'094;2'298;2'239;1'943;2'317;2'303;2'117;2'652;2'705;3'182;3'789;4'271;…;…;…;…;…;8'465;8'671;9'882;10'859;13'314;14'369;15'952;17'334;18'450;19'367;20'172;20'898;21'542;22'280;22'938;23'461;23'844;24'099;24'213;24'316;25'825;26'590;26'297;27'060;29'460;31'900;35'185;37'509;40'399;43'909;48'218;52'079;56'123;60'185;64'532;68'687;72'990;77'768;82'494;87'413;92'512;97'823;103'294;108'865;114'700;120'401;126'348;132'050;137'507
Ausland;Anzahl Renten;Waise (Vater);Total;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;10'434;10'077;10'037;9'808;9'962;9'944;10'107;9'973;10'070;10'013;9'879;9'627;9'413;9'196;8'961;8'712;8'491;8'398;8'304;8'237;8'311;8'178;8'089
Ausland;Anzahl Renten;Waise (Mutter);Total;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;1'404;1'419;1'414;1'466;1'508;1'532;1'537;1'502;1'472;1'507;1'498;1'550;1'539;1'504;1'477;1'480;1'420;1'415;1'388;1'374;1'347;1'345;1'345
Ausland;Anzahl Renten;Waise (einfach);Total;–;36;113;165;228;289;336;398;468;649;727;840;893;768;1'095;1'160;1'263;1'760;2'267;3'031;3'840;4'572;…;…;…;…;…;10'004;10'014;11'643;12'462;14'861;15'105;15'940;16'630;17'071;17'217;17'009;16'751;16'414;16'032;15'651;15'050;14'536;14'130;13'626;13'116;13'717;13'848;13'161;12'579;12'583;12'795;11'838;11'496;11'451;11'274;11'470;11'476;11'644;11'475;11'542;11'520;11'377;11'177;10'952;10'700;10'438;10'192;9'911;9'813;9'692;9'611;9'658;9'523;9'434
Ausland;Anzahl Renten;Waise (doppelt);Total;–;–;1;5;4;3;5;10;17;32;31;37;28;23;26;31;34;39;44;65;72;102;…;…;…;…;…;193;195;259;275;340;340;375;410;413;443;452;466;450;434;410;368;350;352;347;339;340;316;369;359;297;248;147;124;102;87;72;65;52;39;29;26;21;18;17;9;10;9;8;7;7;7;8;6;6
Wohnsitzstaat - Total;Anzahl Renten;Altersrente;Männer;80'704;98'011;111'619;143'112;153'313;163'029;174'531;181'792;216'845;232'442;236'981;245'590;254'485;231'680;270'805;273'136;266'995;274'481;281'116;284'772;295'990;301'440;…;…;…;…;…;340'097;345'034;347'998;356'144;367'781;375'076;379'300;383'360;386'053;389'669;394'855;404'099;414'057;422'933;431'869;439'048;447'951;457'047;467'337;480'854;487'659;502'040;514'627;528'551;544'687;562'394;598'981;620'082;645'702;676'076;706'911;737'736;770'049;803'086;837'576;869'630;903'355;936'773;968'725;999'555;1'026'059;1'051'812;1'074'698;1'096'785;1'119'843;1'139'227;1'156'926;1'175'698;1'197'739
Wohnsitzstaat - Total;Anzahl Renten;Altersrente;Frauen;136'621;153'779;167'225;210'217;225'617;238'565;257'387;269'065;318'435;382'872;394'058;408'677;431'092;401'741;462'367;469'854;482'171;497'671;510'834;518'704;536'972;547'352;…;…;…;…;…;621'394;629'127;635'428;644'305;655'798;654'927;655'408;665'637;679'502;694'066;708'335;724'098;739'666;755'950;772'595;786'340;802'776;818'953;837'225;863'527;870'561;890'347;906'992;921'122;939'045;953'560;948'967;959'576;978'404;1'001'621;991'418;1'011'441;1'038'185;1'065'887;1'091'573;1'111'578;1'127'924;1'151'623;1'174'028;1'196'904;1'213'762;1'233'642;1'250'151;1'266'995;1'283'921;1'299'534;1'313'799;1'329'200;1'348'122
Wohnsitzstaat - Total;Anzahl Renten;Zusatzrenten für Ehepartner;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;23;87;166;162;291;441;564;472;565;632;463;360;270;209;165;140;112;91;77;66;59;44;38;33;30;24
